education,work_experience,parent_income,age,gender,true_loanworthiness,algorithm_score,approved
16.4901424590337,6.304961271909187,46430.105390255565,33.852614268328566,0,3.5668164706428764,3.3041909193093484,0
14.585207096486446,6.186343566464584,53890.01073892694,34.73875277007752,1,2.478162013122331,3.7145772814324722,0
16.94306561430208,0.8174273094799398,48052.37877909714,35.51435902870065,1,2.510617522112326,3.562518391203287,0
19.569089569224076,6.679639233194251,62208.36093892239,42.57489169316944,1,2.8646942046707116,4.528402888254458,1
14.297539875829992,10.93131632728698,83943.57062923825,29.02226153210605,1,2.7786982402752916,3.7894558814824886,0
14.297589129152458,2.9030715236928195,44579.156857175905,28.22922406789872,0,1.9929803176132483,1.6264788724781183,0
19.737638446522176,12.19393060420237,80016.40995536829,44.892957937143805,0,3.267509482959789,3.5046253118063224,0
17.302304187458727,9.951099284337353,44366.55855306225,31.298842064949614,1,2.5806328588496035,4.314851485955782,1
13.591576842195144,5.063066712115848,43047.45575006232,24.89571717138347,0,2.500822963251212,2.2099613495804196,0
16.627680130757895,7.43388145064861,76371.89236686427,31.11896046320104,0,2.808548175447937,2.743693136189819,0
13.609746921562614,14.393287230564132,78438.72756015233,32.35957811804799,1,3.9232998425165433,5.047570139594539,1
13.602810739289229,10.934191254023464,77028.19873525309,47.43970182180612,0,3.5080149054283742,2.9635863692900193,0
15.725886814698102,8.035134619592592,33684.051835637176,42.398609699013896,1,3.6693586194176855,4.572819482969287,1
9.260159266026607,7.049266732156063,50680.98043855898,44.18016493305794,0,2.610218714671794,2.996104045581828,0
9.825246502460901,8.306436281806638,76459.77184006643,41.55978913877429,1,3.3048417607932956,3.717828342088615,0
13.313137412277083,5.952945768230786,60830.83681127789,42.569949372922515,1,2.8287300761496375,4.287498749852855,1
11.961506638996728,-0.4189980228760586,38526.14307605072,29.495342987357454,0,1.6911248068102667,1.2875007044952673,0
15.942741997785822,16.168711642138923,69166.35878250883,33.41118275717213,0,4.420718750501297,4.618367083643418,1
12.275927773436367,8.621299996797607,45703.85482017059,27.08067749581161,0,2.845068638779943,2.7516777065268423,0
10.763088895994127,9.592589060490148,95890.49696784424,33.316095755703735,1,3.1635883069627684,3.938667315815871,0
19.39694630676466,7.768369000492365,90896.82924836517,40.47283992747793,0,3.648131897779876,4.204912671840066,1
